title,author,price,pages,n_reviews,avg_reviews
Deep Learning (Adaptive Computation and Machine Learning series),[Ian Goodfellow],54.25,800.0,1862,4.3
Deep Learning with Python,[Francois Chollet],32.49,384.0,1349,4.6
Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD,"[Jeremy Howard,Sylvain Gugger]",36.99,624.0,418,4.8
Python Machine Learning: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow 2 3rd Edition,"[Sebastian Raschka,Vahid Mirjalili]",49.39,770.0,387,4.5
Deep Learning (The MIT Press Essential Knowledge series),[John D. Kelleher],13.99,296.0,305,4.5
Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow,"[Sebastian Raschka,Vahid Mirjalili]",41.99,622.0,272,4.5
Deep Learning Illustrated: A Visual Interactive Guide to Artificial Intelligence (Addison-Wesley Data & Analytics Series),[Jon Krohn],44.39,416.0,189,4.5
Generative Deep Learning: Teaching Machines to Paint Write Compose and Play,[David Foster],46.99,330.0,189,4.5
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning,[Chris Albon],45.39,366.0,172,4.5
Neural Networks and Deep Learning: A Textbook,[Charu C. Aggarwal],49.0,520.0,164,4.5
Deep Learning with Python Second Edition,[Francois Chollet],37.23,504.0,148,4.6
Deep Learning with R Second Edition,"[Francois Chollet,Tomasz Kalinowski et al.]",59.99,568.0,148,4.6
Grokking Deep Learning,[Andrew Trask],39.49,336.0,138,4.4
Deep Learning with TensorFlow 2 and Keras: Regression ConvNets GANs RNNs NLP and more with TensorFlow 2 and the Keras API 2nd Edition,"[Antonio Gulli,Amita Kapoor et al.]",33.21,646.0,116,4.5
Practical Deep Learning for Cloud Mobile and Edge: Real-World AI & Computer-Vision Projects Using Python Keras & TensorFlow,"[Anirudh Koul,Siddha Ganju et al.]",55.43,620.0,110,4.6
Deep Learning with R,"[Francois Chollet,J. J. Allaire]",46.99,360.0,100,4.5
Deep Learning with PyTorch: Build train and tune neural networks using Python tools,"[Eli Stevens,Luca Antiga et al.]",36.26,520.0,93,4.4
Deep Learning: A Visual Approach,[Andrew Glassner],56.99,776.0,90,4.7
Deep Learning from Scratch: Building with Python from First Principles,[Seth Weidman],38.99,252.0,79,4.4
Deep Learning: A Practitioners Approach,"[Josh Patterson,Adam Gibson]",23.49,530.0,73,4.2
